Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6M12,2012-06-05,1.5381,1.5407,1.532,1.5368,-0.0014,-0.09%,76657,184583
B6M12,2012-06-06,1.5377,1.5516,1.5368,1.5472,0.0104,+0.68%,111370,180925
B6M12,2012-06-07,1.549,1.5633,1.5429,1.5553,0.0081,+0.52%,139273,181674
B6M12,2012-06-08,1.5532,1.5536,1.5403,1.5459,-0.0094,-0.60%,121707,182467
B6M12,2012-06-11,1.5514,1.5581,1.5459,1.5498,0.0039,+0.25%,111778,179822
B6M12,2012-06-12,1.5472,1.5591,1.5454,1.5569,0.0071,+0.46%,163011,178648
B6M12,2012-06-13,1.557,1.5598,1.5503,1.5529,-0.004,-0.26%,188956,181630
B6M12,2012-06-14,1.5509,1.5565,1.5473,1.5532,0.0003,+0.02%,190295,184238
B6U12,2012-06-15,1.5549,1.5747,1.547,1.5676,0.0144,+0.93%,157798,180387
B6U12,2012-06-18,1.5721,1.5733,1.5631,1.5663,-0.0013,-0.08%,93093,121767
B6U12,2012-06-19,1.5662,1.5754,1.561,1.5728,0.0065,+0.41%,103037,121624
B6U12,2012-06-20,1.572,1.5773,1.5644,1.5694,-0.0034,-0.22%,109589,118066
B6U12,2012-06-21,1.5706,1.5729,1.5573,1.5591,-0.0103,-0.66%,105775,116793
B6U12,2012-06-22,1.5592,1.563,1.5553,1.5582,-0.0009,-0.06%,83872,115794
B6U12,2012-06-25,1.5587,1.5589,1.5534,1.5559,-0.0023,-0.15%,63092,114556
B6U12,2012-06-26,1.5566,1.5647,1.5559,1.5634,0.0075,+0.48%,103788,114561
B6U12,2012-06-27,1.5631,1.5637,1.5541,1.5554,-0.008,-0.51%,84627,114237
B6U12,2012-06-28,1.5566,1.5621,1.5481,1.5493,-0.0061,-0.39%,101621,113096
B6U12,2012-06-29,1.5517,1.5713,1.5493,1.5677,0.0184,+1.19%,132612,110858
B6U12,2012-07-02,1.5692,1.572,1.5638,1.5689,0.0012,+0.08%,106125,108751
B6U12,2012-07-03,1.569,1.5711,1.5657,1.5693,0.0004,+0.03%,74614,108251
B6U12,2012-07-05,1.5675,1.5693,1.5497,1.5522,-0.0171,-1.09%,168907,115188
